Xkr4	1	3205901	3671498
Rgs20	1	4909576	5070285
Atp6v1h	1	5070018	5162529
Npbwr1	1	5913707	5917398
Rb1cc1	1	6206197	6276648
Pcmtd1	1	7088920	7173628
3110035E14Rik	1	9601199	9627143
Sgk3	1	9798107	9900845
Prex2	1	10993465	11303681
Kcnb2	1	15287254	15723750
Rdh10	1	16105774	16133734
Stau2	1	16228674	16520112
Ube2w	1	16540790	16619489
Pi15	1	17601901	17630939
Tfap2b	1	19208914	19238576
Mcm3	1	20802968	20820312
Paqr8	1	20890606	20939650
Kcnq5	1	21398403	21961942
Rims1	1	22286251	22805724
Col9a1	1	24177610	24252684
Lmbrd1	1	24678630	24766301
Bai3	1	25067476	25829707
Phf3	1	30802339	30873921
Ptp4a1	1	30940302	30949770
Khdrbs2	1	32172714	32658568
Prim2	1	33453810	33669795
Zfp451	1	33761545	33814595
Fam168b	1	34813219	34843065
Hs6st1	1	36068400	36106446
Uggt1	1	36140027	36244720
Neurl3	1	36264597	36274679
Cnnm3	1	36511867	36528237
Mgat4a	1	37439340	37541016
Lipt1	1	37871738	37876228
Eif5b	1	37998010	38055579
Rnf149	1	39551296	39577405
Il1r1	1	40225080	40317257
Mfsd9	1	40772038	40790687
Gpr45	1	42952872	43035456
Nck2	1	43444579	43570515
Tpp2	1	43933647	44003000
Bivm	1	44118957	44144770
Col5a2	1	45374321	45503282
Tmeff2	1	50900647	51187270
Sdpr	1	51289126	51302960
Myo1b	1	51749765	51916071
Hibch	1	52844929	52920986
Mstn	1	53061640	53068079
Asnsd1	1	53344617	53352752
Dnah7a	1	53397006	53706784
Hecw2	1	53806876	54195168
Ankrd44	1	54645340	54926387
Hspd1	1	55077835	55088243
Mob4	1	55131231	55154899
Rftn2	1	55170159	55226782
Mars2	1	55237177	55248470
Satb2	1	56793981	56978650
Tyw5	1	57388237	57407101
9430016H08Rik	1	57406328	57417953
Spats2l	1	57774162	57948394
Ppil3	1	58430994	58445486
Fam126b	1	58522806	58586323
Nop58	1	59684971	59719044
Nbeal1	1	60180599	60338328
Abi2	1	60409619	60481158
Raph1	1	60482292	60567104
Pard3b	1	61638824	62642284
Nrp2	1	62703285	62818695
Ndufs1	1	63143596	63176833
Eef1b2	1	63176825	63180486
Adam23	1	63445891	63596276
Klf7	1	64029447	64122282
Creb1	1	64532645	64604548
Cryge	1	65048554	65051149
Pikfyve	1	65186683	65278695
Map2	1	66175273	66442583
Kansl1l	1	66719248	66817562
Erbb4	1	68032186	69108059
Abca12	1	71242276	71414910
Xrcc5	1	72307421	72394952
Tnp1	1	73015074	73015909
Tns1	1	73910231	74124449
Cxcr1	1	74191785	74194631
Pnkd	1	74284930	74353694
Tmbim1	1	74288247	74305622
Ctdsp1	1	74391509	74397285
Stk36	1	74601445	74636894
Ttll4	1	74661745	74703730
Cyp27a1	1	74713574	74737892
Ihh	1	74945315	74951672
Atg9a	1	75180860	75192196
Tuba4a	1	75214228	75219865
Dnpep	1	75307896	75317990
Epha4	1	77367185	77515088
Farsb	1	78417975	78488897
Utp14b	1	78658038	78671512
Nyap2	1	81076950	81341764
Col4a4	1	82448423	82586849
Mff	1	82724890	82752394
Daw1	1	83159752	83210574
Sphkap	1	83254139	83408200
Itm2c	1	85894281	85908675
Gpr55	1	85938318	85961007
Spata3	1	86016816	86029958
B3gnt7	1	86302832	86307305
Ncl	1	86344719	86359400
